se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se481, 3.7972, 3.7972, 3.4911, 2.1954, 2.1954, 1.5034, -0.8973, 0.8969, -0.0005,  0.6,  0.6,  1.8,  1.0,  2670,  1491,  39.0, 
se482, 3.7271, 3.7271, 3.3912, 2.0985, 2.0985, 1.3768, -0.9393, 0.9392, -0.0002,  0.6,  0.6,  1.8,  1.2,  2766,  1495,  45.0, 
se483, 3.6629, 3.6629, 3.2947, 2.012, 2.012, 1.27, -0.9779, 0.977, -0.0002,  0.6,  0.6,  1.8,  1.4,  2790,  1491,  42.0, 
se484, 3.6029, 3.6028, 3.1999, 1.9336, 1.9338, 1.1773, -1.0117, 1.012, -0.0003,  0.6,  0.6,  1.8,  1.6,  2750,  1451,  42.0, 
se485, 3.5521, 3.5521, 3.1141, 1.867, 1.867, 1.1079, -1.0394, 1.0394, -0.0005,  0.6,  0.6,  1.8,  1.8,  2718,  1411,  44.0, 
se486, 4.611, 5.598, 4.4511, 5.3543, 6.1954, 4.0407, -4.6167, 1.1621, 3.2521,  0.8,  0.2,  0.2,  0.2,  2942,  2371,  68.0, 
se487, 4.5296, 5.5242, 4.3757, 5.227, 5.9533, 3.7834, -4.5489, 1.2252, 3.1174,  0.8,  0.2,  0.2,  0.4,  2878,  2287,  60.0, 
se488, 4.453, 5.4709, 4.3046, 5.1136, 5.7329, 3.6125, -4.4976, 1.261, 3.0519,  0.8,  0.2,  0.2,  0.6,  2934,  2295,  66.0, 
se489, 4.3733, 5.4181, 4.2274, 4.9917, 5.4982, 3.4594, -4.4374, 1.2853, 2.9899,  0.8,  0.2,  0.2,  0.8,  2902,  2267,  65.0, 
se490, 4.2915, 5.3556, 4.1422, 4.8738, 5.2621, 3.2823, -4.3795, 1.3305, 2.8863,  0.8,  0.2,  0.2,  1.0,  2798,  2167,  58.0, 
se491, 4.2176, 5.3188, 4.0705, 4.7788, 5.0668, 3.1906, -4.3394, 1.333, 2.8611,  0.8,  0.2,  0.2,  1.2,  2790,  2159,  60.0, 
se492, 4.1476, 5.2871, 4.0015, 4.6915, 4.8859, 3.1172, -4.3036, 1.3288, 2.8428,  0.8,  0.2,  0.2,  1.4,  2806,  2147,  70.0, 
se493, 4.085, 5.2685, 3.9417, 4.6207, 4.7364, 3.0843, -4.2781, 1.3119, 2.855,  0.8,  0.2,  0.2,  1.6,  2734,  2115,  68.0, 
se494, 4.0271, 5.2504, 3.8851, 4.5603, 4.6027, 3.054, -4.2586, 1.2907, 2.861,  0.8,  0.2,  0.2,  1.8,  2758,  2115,  67.0, 
se495, 4.4555, 5.4262, 4.2915, 4.79, 5.4765, 3.7053, -4.1625, 0.9815, 2.9832,  0.8,  0.2,  0.4,  0.2,  2934,  2319,  61.0, 
se496, 4.3793, 5.3575, 4.2196, 4.6787, 5.2711, 3.4782, -4.1068, 1.0454, 2.8629,  0.8,  0.2,  0.4,  0.4,  2918,  2259,  62.0, 
se497, 4.303, 5.3019, 4.1478, 4.5654, 5.0677, 3.3146, -4.0508, 1.078, 2.7967,  0.8,  0.2,  0.4,  0.6,  2982,  2263,  63.0, 
se498, 4.2262, 5.2498, 4.0726, 4.4581, 4.8665, 3.1712, -4.0004, 1.1073, 2.7387,  0.8,  0.2,  0.4,  0.8,  2958,  2223,  69.0, 
se499, 4.1486, 5.1921, 3.9919, 4.3556, 4.6634, 3.017, -3.9504, 1.1476, 2.6512,  0.8,  0.2,  0.4,  1.0,  2886,  2143,  66.0, 
se500, 4.0782, 5.156, 3.9222, 4.2737, 4.4938, 2.9287, -3.916, 1.1595, 2.6254,  0.8,  0.2,  0.4,  1.2,  2886,  2139,  67.0, 
se501, 4.012, 5.1272, 3.8568, 4.2026, 4.3423, 2.8638, -3.8884, 1.161, 2.6115,  0.8,  0.2,  0.4,  1.4,  2894,  2131,  73.0, 
