se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1003, 15.951, 17.5769, 20.8273, 163.4365, 328.9208, 322.4993, 124.0109, -297.357, 152.929,  5.0,  3.0,  0.8,  1.0,  3726,  2431,  100.0, 
se1004, 15.4307, 17.0995, 20.0849, 146.369, 297.2229, 294.2075, 108.4008, -266.9114, 144.794,  5.0,  3.0,  0.8,  1.2,  3494,  2227,  86.0, 
se1005, 14.929, 16.6543, 19.3619, 130.8816, 269.1857, 270.4767, 94.3309, -240.0381, 138.4382,  5.0,  3.0,  0.8,  1.4,  3446,  2155,  77.0, 
se1006, 14.4477, 16.2421, 18.6578, 116.9298, 244.1784, 250.631, 81.7194, -216.2416, 133.5943,  5.0,  3.0,  0.8,  1.6,  3222,  1987,  65.0, 
se1007, 14.0023, 15.8659, 17.9829, 104.7519, 221.9128, 234.2998, 70.714, -195.006, 129.4282,  5.0,  3.0,  0.8,  1.8,  3110,  1891,  69.0, 
se1008, 17.4745, 18.9855, 23.2514, 228.432, 456.1948, 447.9088, 192.5044, -428.953, 184.4018,  5.0,  3.0,  1.0,  0.2,  4718,  3415,  197.0, 
se1009, 17.0352, 18.5447, 22.6924, 211.0987, 422.4206, 407.8723, 176.3959, -395.5609, 173.1758,  5.0,  3.0,  1.0,  0.4,  4886,  3419,  197.0, 
se1010, 16.5407, 18.0595, 22.0274, 192.0602, 385.9869, 369.3679, 158.6513, -360.1546, 162.0584,  5.0,  3.0,  1.0,  0.6,  5054,  3395,  218.0, 
se1011, 16.0229, 17.5591, 21.3066, 173.0908, 349.9763, 334.1751, 140.9667, -324.8696, 151.7353,  5.0,  3.0,  1.0,  0.8,  5190,  3267,  212.0, 
se1012, 15.5013, 17.0664, 20.5649, 155.0584, 316.2989, 303.0468, 124.075, -292.0487, 142.6808,  5.0,  3.0,  1.0,  1.0,  5262,  3275,  221.0, 
se1013, 14.9874, 16.5909, 19.8211, 138.412, 285.4444, 276.0135, 108.5856, -262.0535, 135.0231,  5.0,  3.0,  1.0,  1.2,  5454,  3319,  232.0, 
se1014, 14.4857, 16.1404, 19.0824, 123.1052, 257.6227, 252.8761, 94.2949, -235.0323, 128.6582,  5.0,  3.0,  1.0,  1.4,  4950,  2963,  186.0, 
se1015, 14.0101, 15.7304, 18.3715, 109.5368, 233.2002, 233.9602, 81.6794, -211.4072, 123.9828,  5.0,  3.0,  1.0,  1.6,  4158,  2455,  119.0, 
